Name,Country,Zip Code,City,Street Address,District,Phone Number 1,Phone Number 2,Website,Facebook,Instagram,YouTube,Phone Number 3,Phone Number 4,Phone Number 5,Phone Number 6,Phone Number 7
«ԷՍՏՈՄԵԴ» ԷՍԹԵՏԻԿ ԲԺՇԿՈՒԹՅԱՆ ԿԵՆՏՐՈՆ,Հայաստան, 0010, Երևան,"Պուշկինի փող., 36 շենք (Տերյան և Պուշկինի փողոցների խաչմերուկում)",(Կենտրոն վարչ. շրջան),37410500108,37495500108,http://www.estomed.am,https://www.facebook.com/estomed.am,https://www.instagram.com/estomed.am,https://www.youtube.com/channel/UC0tYGfwOp8wLsldP8wijNpA?disable_polymer=true,,,,,
«ԱՎԱՆՏԱ» ՆՈՐԱՐԱՐԱԿԱՆ ԲԺՇԿՈՒԹՅԱՆ ԿԵՆՏՐՈՆ,Հայաստան, 0025, Երևան,"Մխիթար Հերացու փող., 1/1 շենք",(Կենտրոն վարչ. շրջան),3741232323211,,http://www.avanta.am,,,,,,,,
«ԴԻԱԼԱԲ» ԲԺՇԿԱԿԱՆ ԿԵՆՏՐՈՆ ԵՎ ԿԼԻՆԻԿԱԿԱՆ ԱԽՏՈՐՈՇԻՉ ԼԱԲՈՐԱՏՈՐԻԱ,Հայաստան, 0051, Երևան,"Մամիկոնյանց փող., 41 շենք",(Արաբկիր վարչ. շրջան),,37410231329,http://www.dialab.am,https://www.facebook.com/dialabmedicalcenter,https://www.instagram.com/dialab_medical_center,,37410238080,37499231329,,,
«ՀԱՍՈՒ» ԻՄՊԼԱՆՏՈԼՈԳԻԱՅԻ ԵՎ ԷՍԹԵՏԻԿ ՍՏՈՄԱՏՈԼՈԳԻԱՅԻ ՄԱՍՆԱԳԻՏԱՑՎԱԾ ԿԼԻՆԻԿԱ,Հայաստան, 0070, Երևան,"Ռոստոմի փող., 29 շենք, 1-ին հարկ",(Կենտրոն վարչ. շրջան),37410558698,37410559725,http://www.hasuclinic.am,https://www.facebook.com/HASU-Implant-Dental-Clinic-288722114565715,,,37494415026,37499558698,,,
«ՎԱՆ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԵՆՏՐՈՆ,Հայաստան, 0002, Երևան,"Թումանյան փող., 23 շենք",(Կենտրոն վարչ. շրջան),,37410538581,Spyur,https://www.facebook.com/VanDentalCentre,https://www.instagram.com/van_dental_cenntre,,,,,,
«3ԴԵՆՏ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԵՆՏՐՈՆ,Հայաստան, 0002, Երևան,"Սարյան փող., 2 շենք, բն.16",(Կենտրոն վարչ. շրջան),37410544554,37496544550,http://www.3dent.am,,,,,,,,
«ԴԻԱՄԵԴ» ԲԺՇԿԱԿԱՆ ԿԵՆՏՐՈՆ,Հայաստան, 0092, Երևան,"Նոր Նորքի 7-րդ զանգված, Հունան Ավետիսյան փող., 84 շենք (հայորդաց տան հարևանությամբ)",(Նոր Նորք վարչ. շրջան),37410646160,37410669293,http://www.diamed.am,,,,,,,,
«ԿԱՄԱՐ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԵՆՏՐՈՆ,Հայաստան, 0001, Երևան,"Սայաթ-Նովայի պող., 26 շենք, №8, 10",(Կենտրոն վարչ. շրջան),37410528444,37499411974,http://www.kamar.am,https://www.facebook.com/KamarDentalCenter,,,37410582514,37477411974,,,
«ՍՊԻՏԱԿ ԱՄՐՈՑ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԲԺՇԿԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0014, Երևան,"Երազ բնակելի թաղամաս, Ադոնցի փող., 6/1 շենք, շինություն 326",(Արաբկիր վարչ. շրջան),37412336699,37455336609,http://www.whitecastle.am,,,,37493189838,,,,
«ԻՆՆՈՎԱ ԿԼԻՆԻԿ» ՆՈՐԱՐԱՐԱԿԱՆ ԲԺՇԿԱԿԱՆ ԿԵՆՏՐՈՆ,Հայաստան, 2207, Կոտայքի մարզ,"Երևանյան փող., 1/24 շենք",(Աբովյան համայնք),37460380038,37495380038,http://innova.am,https://www.facebook.com/InnovaClinicArmenia,https://www.instagram.com/innovaclinic,,37433380038,,,,
«ՅՈՒՆԻԴԵՆՏ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0015, Երևան,"Սուրբ Գրիգոր Լուսավորչի փող., 7/1 շենք, 1-ին հարկ («Գլաձոր» համալսարանի շենքում)",(Կենտրոն վարչ. շրջան),37410545989,37433545989,Spyur,https://www.facebook.com/profile.php?id=100095627853372,https://www.instagram.com/unident_dental_clinic_/,,,,,,
«ՄՈԴԵՌՆ ԻՄՊԼԱՆՏ ՄԵԴԻՍԻՆ» ԲԺՇԿԱԿԱՆ ԿԵՆՏՐՈՆ,Հայաստան, 0015, Երևան,"Ձորափի փող., 40 շենք, 2-րդ հարկ, տարածքներ 28, 29",(Կենտրոն վարչ. շրջան),37410533838,37496151500,http://www.mim.am,https://www.facebook.com/ModernImplantMed,,,,,,,
«ԼԻԴԵՐ-ԷՖ» ՇՈՒՐՋՕՐՅԱ ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱՆԵՐԻ ՑԱՆՑ,Հայաստան, 0037, Երևան,"Կարապետ Ուլնեցու փող., 31/9 շենք",(Քանաքեռ-Զեյթուն վարչ. շրջան),37491414450,37410208414,Spyur,https://www.facebook.com/leader.f.dent,,,,,,,
"«ԶԱՔԱՐՅԱՆ ԴԵՆՏԱԼ» ԻՄՊԼԱՆՏՈԼՈԳԻԱՅԻ, ԿՈՍՄԵՏԻԿ ՍՏՈՄԱԼՈԳԻԱՅԻ ԵՎ ԿՈՍՄԵՏՈԼՈԳԻԱՅԻ ԿԵՆՏՐՈՆ (ԽՈՐԵՆ ԶԱՔԱՐՅԱՆ անհատ ձեռներեց)",Հայաստան, 0002, Երևան,"Մաշտոցի պող., 42 շենք",(Կենտրոն վարչ. շրջան),37410535979,37433535979,Spyur,,,,37444535979,37493362000,,,
«ՈՒԼՏՐԱԴԵՆՏ» ԱՏԱՄՆԱԲՈՒԺԱՐԱՆ («ՅՈՒԴԵՆՏ» սահմանափակ պատասխանատվությամբ ընկերություն),Հայաստան, 0002, Երևան,"Ամիրյան փող., 13 շենք, 1-ին հարկ",(Կենտրոն վարչ. շրջան),37410534063,37491534063,http://www.ultradent.am,https://www.facebook.com/UltraDentDentalClinic,https://www.instagram.com/ultradentclinic,,37455534063,,,,
«ԱՐՍԵԴԵՆՏ» ԱՏԱՄՆԱԲՈՒԺԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0025, Երևան,"Աբովյան փող., 54 շենք, 1-ին և 3-րդ հարկեր",(Կենտրոն վարչ. շրջան),37410561766,37410562173,http://www.arsedent.am,,,,,,,,
«ԴԻ-ՓԻ-ԷՅՉ ԴԵՆՏԱԼ» ԱՏԱՄՆԱԲՈՒԺԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0001, Երևան,"Խանջյան փող., 39 շենք, բն.3",(Կենտրոն վարչ. շրջան),37410520837,37499520837,Spyur,https://www.facebook.com/dphdentalcosmetology,https://www.instagram.com/dph_dental_clinic,,,,,,
«ՍՏՈՄԼԱՅՆ» ԺԱՄԱՆԱԿԱԿԻՑ ՍՏՈՄԱՏՈԼՈԳԻԱՅԻ ԵՎ ԷՍԹԵՏԻԿ ԲԺՇԿՈՒԹՅԱՆ ԿԵՆՏՐՈՆ,Հայաստան, 0025, Երևան,"Չարենցի փող., 5 շենք (կապի բաժանմունքի հարևանությամբ)",(Կենտրոն վարչ. շրջան),37455403232,37410600022,http://stomline.am,https://www.facebook.com/Stomline-dental-clinic-%D5%8D%D5%BF%D5%B8%D5%B4%D5%AC%D5%A1%D5%B5%D5%B6-%D5%BD%D5%BF%D5%B8%D5%B4%D5%A1%D5%BF%D5%B8%D5%AC%D5%B8%D5%A3%D5%AB%D5%A1%D5%AF%D5%A1%D5%B6-%D5%AF%D5%A5%D5%B6%D5%BF%D6%80%D5%B8%D5%B6-1647517268852077,https://www.instagram.com/stomlineclinic,,,,,,
